"","x"
"1","acadian redfish"
"2","alewife"
"3","american plaice"
"4","american shad"
"5","atlantic cod"
"6","atlantic herring"
"7","atlantic mackerel"
"8","atlantic rock crab"
"9","black sea bass"
"10","blackbelly rosefish"
"11","butterfish"
"12","cunner"
"13","fawn cusk-eel"
"14","fourbeard rockling"
"15","fourspot flounder"
"16","goosefish"
"17","gulf stream flounder"
"18","haddock"
"19","little skate"
"20","longfin squid"
"21","longhorn sculpin"
"22","northern searobin"
"23","northern shortfin squid"
"24","ocean pout"
"25","offshore hake"
"26","pollock"
"27","red hake"
"28","scup"
"29","sea raven"
"30","sea scallop"
"31","silver hake"
"32","smooth skate"
"33","spiny dogfish"
"34","spotted hake"
"35","summer flounder"
"36","thorny skate"
"37","white hake"
"38","windowpane flounder"
"39","winter flounder"
"40","winter skate"
"41","witch flounder"
"42","yellowtail flounder"
