comname,depth_slope,bt_slope,surf_slope,lat_slope,lon_slope,depth_p,bt_p,surf_p,lat_p,lon_p,num_obs
acadian redfish,0.8460874,0.05192949,0.07635597,2.461055e-05,0.0243232,0.3003456,0.2827121,0.7321708,0.998875,0.4194395,20
alewife,-2.773782,-0.03965071,0.2775941,-0.07422105,-0.1003815,0.09844014,0.735772,0.2300385,0.09094351,0.04389648,20
american lobster,1.879489,0.09313736,0.00619501,-0.01912868,0.0703546,0.2418149,0.628643,0.9807584,0.4909466,0.03083513,20
american plaice,1.498106,-0.03508965,0.07638106,0.03655865,-0.003211802,0.3518435,0.784362,0.6497929,0.0005376539,0.8682473,20
american shad,-1.749674,0.002969675,0.2898965,-0.1079887,-0.05598341,0.5080512,0.9832922,0.428351,0.1096568,0.4797371,20
atlantic cod,-0.03598541,-0.027747,0.06544316,0.01735988,0.1701453,0.9631184,0.8800949,0.8060531,0.3580291,0.005849954,20
atlantic croaker,5.208834,-0.05068359,-0.3022893,-0.09617342,-0.02800783,0.2322181,0.9310637,0.6930573,0.4776837,0.7575023,13
atlantic hagfish,1.88302,-0.05222733,-0.06204684,-0.004090643,-0.0335163,0.6332565,0.5767983,0.8641196,0.9750672,0.807649,20
atlantic halibut,2.909403,-0.1400902,0.04957197,-0.08326261,0.00441235,0.1458777,0.4325548,0.8538287,0.1137125,0.9382287,19
atlantic herring,0.272782,0.04316092,0.2110621,0.01686614,0.0480628,0.9287179,0.7622655,0.4660633,0.7954262,0.579545,20
atlantic mackerel,-3.635532,0.07288674,0.1707448,-0.01939829,0.01140924,0.08080898,0.7230305,0.5318152,0.8632504,0.9348464,20
atlantic rock crab,1.985833,0.06509644,-0.1006513,-0.02194354,0.03720687,0.6887043,0.8203021,0.8688781,0.8655909,0.8159902,20
atlantic wolffish,3.421111,-0.02961344,0.08859682,0.04080207,-0.009778154,0.1803992,0.8172793,0.7437316,0.2129349,0.8769702,20
barndoor skate,0.0502735,-0.07040211,0.01052879,-0.01238628,0.02353868,0.992389,0.4712269,0.9750584,0.7429559,0.6728954,20
black sea bass,-0.1591084,0.01151962,-0.1473026,0.09368353,0.07262673,0.9567059,0.9620492,0.7772087,0.2207529,0.3696468,20
blackbelly rosefish,-0.8480082,0.06358274,-0.0765551,0.06824328,0.1080404,0.636668,0.2237804,0.8176413,0.06281859,0.0728369,20
bluefish,-0.2235427,0.01404887,0.1206989,-0.08552623,-0.07336744,0.957528,0.9527212,0.766245,0.5711773,0.6504343,18
butterfish,-0.3610537,-0.02872601,0.0781659,0.02181796,0.01958274,0.8846729,0.790056,0.8825924,0.8442956,0.8603816,20
clearnose skate,0.638314,0.1925851,-0.01366915,0.0153418,-6.712424e-05,0.7710965,0.6585497,0.9817902,0.8584758,0.9982871,19
cusk,-3.562116,0.1047055,0.03298152,0.02289777,-0.02872359,0.161408,0.1443311,0.9083218,0.3868726,0.6268953,20
fourspot flounder,1.409478,0.05083309,0.01065077,0.0300435,0.1306955,0.5257909,0.6187609,0.9826276,0.3601551,0.07498626,20
goosefish,2.43124,-0.04755389,-0.07040912,0.09735032,0.2003626,0.3963814,0.2777643,0.8260587,0.04483755,0.001119198,20
haddock,1.298913,-0.02413776,0.06415719,0.042393,-0.1215756,0.5439328,0.8805302,0.8320236,0.01138842,1.665603e-05,20
horseshoe crab,3.570425,0.6418087,0.2038706,-0.1833711,-0.02711703,0.4198363,0.1170071,0.7455123,0.06765789,0.2089186,19
little skate,0.3260903,0.06923447,0.01620457,0.02901899,0.0712129,0.2779176,0.8260436,0.9721849,0.1953925,0.3146893,20
longfin squid,-0.6269578,0.007667603,0.08666309,0.02101109,0.03023958,0.8114421,0.9331463,0.8521825,0.7532237,0.7513822,20
longhorn sculpin,0.7774666,-0.01230963,0.06994245,-0.01344506,-0.01301297,0.4458407,0.9505177,0.8148181,0.5120383,0.7937703,20
northern kingfish,1.441208,-0.1749732,-0.418747,-0.1093076,-0.004641724,0.7092008,0.7367541,0.5191195,0.4155258,0.9664396,15
northern sand lance,-0.9635236,0.1522486,0.03224491,-0.04181468,-0.06834088,0.8155596,0.652105,0.950836,0.7024867,0.7186428,20
northern shortfin squid,0.2605999,0.1132619,-0.01112543,0.06585594,0.11757,0.8984147,0.09177138,0.9833559,0.3834882,0.3974009,20
ocean pout,-3.788182,-0.1030233,0.08452461,0.144872,-0.02865601,0.2322929,0.5591756,0.7890555,1.9757e-05,0.7358934,20
offshore hake,-3.095366,0.1558759,-0.09494362,-0.0008019855,0.05724167,0.1329227,0.09727001,0.8706614,0.9921102,0.6479051,19
pollock,1.704194,0.1217874,0.02374065,0.005224345,0.1459765,0.6354117,0.2871111,0.9216128,0.8290514,0.1018603,20
red hake,-0.2092961,-0.076313,-0.01891089,0.09756743,-0.02100391,0.9046692,0.3246645,0.9483053,0.0002160067,0.5292473,20
rosette skate,1.781853,0.09387974,0.05382369,0.1095834,0.1588292,0.4846968,0.3635153,0.925408,0.07740443,0.1804808,20
scup,-0.0514961,-0.1408395,-0.07522875,0.1216897,0.08357233,0.9843992,0.5844021,0.8732485,0.1426245,0.3277257,20
sea raven,-0.9591332,0.01976731,0.0836172,-0.04923694,0.07914289,0.2399852,0.9146171,0.7882947,0.08491657,0.07387649,20
sea scallop,1.415759,0.08013446,0.1864494,0.009955944,0.1687165,0.06244981,0.6481223,0.7188435,0.8707133,0.2590376,20
silver hake,-0.4610472,-0.06600654,0.06683931,0.05599756,-0.004189813,0.7313692,0.3771722,0.7870381,0.04191726,0.8900273,20
smooth dogfish,-0.982282,0.1969019,-0.06330333,0.05120995,0.217483,0.8591088,0.3366878,0.8621628,0.7707577,0.2197772,20
smooth skate,-8.260438,0.0139626,0.15646,0.02917432,-0.06147384,0.003320135,0.7068759,0.5714881,0.2916138,0.04269616,20
spiny dogfish,-1.422289,0.02789712,0.07193451,0.02384127,0.01309254,0.4880708,0.8025394,0.7824871,0.8623149,0.9394693,20
spot,-5.321559,0.2175303,0.3380722,-0.04082392,-0.101249,0.3712829,0.6446628,0.6004054,0.7547749,0.1904982,14
spotted hake,-0.5516452,0.1139146,-0.08991514,0.05108599,0.1209215,0.8812202,0.221842,0.8669652,0.5123994,0.2727931,20
striped bass,0.3803085,-0.3803528,-0.4644408,0.04337192,-0.1039447,0.6912246,0.2630715,0.2221323,0.8559063,0.7103541,11
summer flounder,0.180127,-0.0575041,-0.05383744,0.02907176,0.136674,0.945301,0.8072397,0.9044434,0.5680971,0.07659267,20
tautog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
thorny skate,-0.5962169,-0.1225315,0.13163,0.02407474,-0.09090903,0.7612571,0.2622868,0.5774063,0.2846401,0.113597,20
tilefish,-1.521158,-0.07548242,-0.2553076,0.03099155,0.06954549,0.5223245,0.5427782,0.6983213,0.6887481,0.4614113,16
weakfish,-1.676888,0.1361227,0.2223353,-0.06651923,-0.08386191,0.5826583,0.7828097,0.7469287,0.5924503,0.5010858,17
white hake,-1.76176,0.1089232,0.0851647,0.03809337,0.03868713,0.5708185,0.01922551,0.7160657,0.1119338,0.3187015,20
winter flounder,-0.6838113,0.07703799,0.1893162,0.0189024,-0.03217075,0.4820511,0.7852263,0.5661248,0.5927112,0.5301163,20
winter skate,0.04677116,0.0009657694,0.07161282,0.01944152,0.08031847,0.9711814,0.9969713,0.8415846,0.3765928,0.1097985,20
witch flounder,-2.940826,-0.1152033,-0.01833736,0.1028236,0.03786821,0.101236,0.08888286,0.9315072,0.08060019,0.5131668,20
yellowtail flounder,0.1537004,-0.1612117,0.07977228,0.1041013,-0.128681,0.8087385,0.5202929,0.7805713,0.0009716483,0.02660418,20
