"","Common Name","slopeLat","slopeLon","pLat","pLon"
"1","acadian redfish",0.00111571950452749,-0.00262500145326667,0.516219472393251,0.486960273601465
"2","alewife",0.0524475557651283,0.0507407048895554,6.91642486368576e-12,3.84932091343056e-09
"3","american plaice",0.000371519792720055,-0.00633974052529601,0.832018574327202,0.0197026157471566
"4","atlantic cod",0.00808323522299907,-0.00161494776861676,6.47282976389816e-05,0.815804541133091
"5","atlantic croaker",0.019638742014836,0.00462161183174574,0.0189482216319206,0.0621296926404514
"6","atlantic herring",0.0105430748366884,0.0256837840294958,0.0423125782879984,4.23485530840758e-05
"7","atlantic mackerel",0.0299244616540107,0.0372018954684241,0.000853059080537326,0.012388689657332
"8","atlantic sharpnose shark",-0.0196698929132332,0.0081415946935219,0.149385422295228,0.0794916599572634
"9","black sea bass",0.0536265624785774,0.0415914676937753,8.02807317615162e-14,1.47753578567268e-11
"10","bluefish",-0.023856132304579,-0.03489586916088,0.0697264190158243,0.051757656471312
"11","butterfish",-0.00335827588251045,0.00258553460567289,0.675817107753464,0.780051479853391
"12","fawn cusk-eel",-0.00539489605290237,-0.00167058273107536,0.0953648742010558,0.825198355971216
"13","fourspot flounder",0.00257874999203111,0.0246174265076525,0.151100901084421,9.62415620609346e-06
"14","goosefish",0.02203492398091,0.0313381588892776,0.00550882767087262,0.000404176013940968
"15","gulf stream flounder",-0.00175523574834321,-0.00862246185658921,0.582735572390915,0.158022664771385
"16","haddock",-0.00300994325209913,-0.00481475888259181,0.0893504216547036,0.353512277930341
"17","little skate",-0.00833030045800082,-0.0255992056709889,2.76068966492044e-06,4.33274388855119e-05
"18","longfin squid",0.00418705181739991,0.00913020560868739,0.191030486319025,0.0498318543840908
"19","longhorn sculpin",0.00953379376001218,-0.0181739356499036,3.85585768655301e-08,0.000524538872107668
"20","northern sand lance",0.0124994844083381,0.0246755762003043,0.221780753933216,0.187449671731312
"21","northern shortfin squid",-0.0389909443594834,-0.0343866748663737,0.000260344884310744,0.00542930794877658
"22","ocean pout",0.0157830383281368,0.028391590119906,1.94679082375691e-06,0.000316761214785948
"23","pollock",0.0104360290719504,-0.00221513219782396,0.000265736204084477,0.826390683514924
"24","red hake",0.0275763663882412,0.0383009163703238,4.94300173292621e-11,1.00440149912241e-11
"25","scup",0.0345293405025279,0.0299948957782857,5.53796725548525e-05,0.000121592403289721
"26","sea raven",0.0099120330681092,0.0121416127359928,0.000624018363232319,0.0501593060693275
"27","silver hake",0.0323004823013231,0.0266099337546036,1.09017314083004e-09,2.01260844608413e-05
"28","smooth dogfish",-0.0241688013379404,0.0046892048121465,0.069474819135085,0.532224764943977
"29","smooth skate",0.0115471124388992,0.010170235941244,0.00374192809617307,0.0162276932335461
"30","spiny dogfish",-0.010521870951207,-0.0152723210912922,0.154498334145891,0.0998841969321381
"31","spotted hake",0.0262634033547741,0.0239266130211068,3.24686850685837e-07,1.22977222280896e-09
"32","summer flounder",0.0274906792552742,0.033300378431791,2.23508827123006e-05,9.09652664975237e-05
"33","tautog",0.0109431857783376,0.0129471752212514,0.781509954401224,0.758510169693521
"34","thorny skate",0.00223166016842562,0.00449249559004015,0.447792701225419,0.398789525942214
"35","weakfish",0.0026781464538031,-0.00438678636238785,0.841931350499594,0.740024517118505
"36","white hake",0.00736300826649177,0.0128774013410692,0.000212621101389267,0.000592583545924551
"37","windowpane",0.00471849654289708,0.00944434619938019,0.0246778084318376,0.128258196205248
"38","winter flounder",0.00670174594332451,0.0047040530373696,0.0183577419889093,0.31644981109587
"39","winter skate",-0.00302252635788291,-0.00280134695550254,0.0281595141315557,0.466805712732625
"40","witch flounder",-0.00543324537734517,0.00980668565989149,0.157054553360861,0.0483586139962052
"41","yellowtail flounder",0.0235103510329612,0.0436837147159022,3.3939301516795e-09,0.000147618052732831
