comname,num_obs,slope
acadian redfish,50,-795.225
alewife,50,-5742.49
american plaice,50,36.11031
atlantic cod,50,-963.0893
atlantic croaker,9,1518.99
atlantic herring,50,-190.115
atlantic mackerel,50,-1351.125
atlantic sharpnose shark,0,NULL
black sea bass,50,1132.324
bluefish,38,-1552.296
butterfish,50,1582.405
fawn cusk-eel,50,-198.5303
fourspot flounder,50,131.472
goosefish,50,-3064.275
gulf stream flounder,50,-248.5293
haddock,50,-582.041
little skate,50,-1023.633
longfin squid,50,2296.323
longhorn sculpin,50,-373.5454
northern sand lance,49,-1320.062
northern shortfin squid,50,-1636.986
ocean pout,50,1175.965
pollock,50,-964.0434
red hake,50,-1741.376
scup,50,-4338.215
sea raven,50,-65.74747
silver hake,50,-3321.079
smooth dogfish,48,4595.491
smooth skate,50,-260.4158
spiny dogfish,50,5339.227
spotted hake,50,1246.435
summer flounder,50,-1123.743
tautog,1,NA
thorny skate,50,1073.273
weakfish,19,680.0821
white hake,50,183.7343
windowpane,50,-447.8609
winter flounder,50,545.257
winter skate,50,587.073
witch flounder,50,802.8734
yellowtail flounder,50,-576.4541
